,t,RSI_Total,Adv_Total,Hill_Total,Jack_Total,Tiered_Total,Loser_Total,Random_Total,Pred_Total,Insider_Total
0,10376,399400.37354,398795.88911479455,400616.75870000006,394914.45346893754,396584.6288491214,399881.07060000004,404105.7940725007,398038.08962358686,399261.60255481914
0,10377,399347.58353999996,398582.8918636419,400325.98870000005,394914.4528456883,396584.6288491214,399608.5006,403620.57579311944,397944.85755515227,399153.6186263861
0,10378,399350.87754,398593.94998790754,400338.34870000003,394941.9306456538,396603.05396255106,399608.27060000005,403623.2000151508,397953.7090381285,399162.6707314985
0,10379,399400.12354,398993.177903558,400852.4387000001,395051.8428152881,396676.7544162694,399602.4006,404442.3865035982,398048.84705525567,399058.4839998248
0,10380,399380.43554,398957.67836169933,400799.7887000001,395051.84269694437,396676.7544162694,399460.64060000004,404361.5152104126,398013.24324781797,398973.28419893637
0,10381,399458.12954,399327.8145216331,401267.23870000005,395354.0991969443,396879.43066399504,399598.0506,404956.46672499774,398182.2921550928,399074.6223227992
0,10382,399418.13954,399199.19964752544,401094.4387000001,395299.1432760788,396842.5804371359,399400.2406,404708.60812461574,398105.06216639007,398959.284441504
0,10383,399417.54754,399250.4076517734,401173.97870000004,395161.75457390235,396750.45486998785,399444.6406,404938.0946282633,398088.0423261283,398903.1132069771
0,10384,399484.15954,399473.8953061487,401433.25870000006,395628.8772796024,397063.68179829116,399502.2206,405063.57637945743,398257.40173377935,399086.20118552906
0,10385,399558.64554,399757.8916410189,401822.5287000001,395628.8766454313,397063.68179829116,399901.9106,405710.5346800614,398389.2645257999,399255.47762608906
0,10386,399610.82886,400148.3866014655,402348.7687000001,395628.8765321335,397063.68179829116,400047.07735000004,406600.0989459848,398527.429449067,399343.72600742365
0,10387,399620.36286,400265.9433513074,402500.11870000005,395656.3541747209,397082.10691172077,400061.99735,406845.3298953355,398552.2603162904,399304.16127700073
0,10388,399606.16686,400194.94426758983,402403.59870000003,395656.3540943479,397082.10691172077,399963.11735,406683.59062102356,398523.11521693284,399274.6381821543
0,10389,399587.89686,400253.12777902314,402514.4487,395271.6648806158,396824.1553237062,400132.56735,407132.0671966391,398459.4663748663,399145.5019365446
0,10390,399623.65885999997,400414.9170259279,402720.25870000006,395409.0538808113,396916.2808908543,400262.02735000005,407387.79692779836,398543.7525849172,399222.69233098935
0,10391,399581.28286,400231.0115304919,402489.7187000001,395216.70927067316,396787.30509684706,400132.79735,407126.81874880404,398441.7155017208,399127.2372747175
0,10392,399663.70886,400545.2893480542,402856.5287000001,395821.22086975636,397192.65759229835,400189.12735,407346.2902929248,398657.7843540843,399329.75307084067
0,10393,399644.14885999996,400414.3493048847,402677.97870000004,395848.69866426947,397211.08270572795,400040.12735,407025.4367698273,398618.54987046984,399313.93517757696
0,10394,399605.66886,400199.5946057135,402427.9087000001,395491.48728294444,396971.5562311431,400108.22735000006,406829.58529874135,398508.4933210823,399281.1367087997
0,10395,399611.86685999995,400292.70993796235,402543.5387000001,395546.4428699005,397008.40645800234,400077.61735,406996.57090086845,398528.4654510785,399238.75066490966
0,10396,399612.59286,400190.2939294664,402381.56870000006,395821.22086412297,397192.65759229835,399870.44735000003,406537.59680338507,398548.659952804,399304.7226208621
0,10397,399618.87686,400236.8515955908,402440.60870000004,395848.6986618328,397211.08270572795,399883.31735,406621.0900665525,398564.51464895345,399303.1849202144
0,10398,399579.71686,400458.0140809042,402647.4087000001,396397.00738707726,397579.58497432,398949.51735000004,406673.5592671799,398547.9992484639,398836.0025486589
0,10399,399604.66886,400435.3301113298,402584.6587000001,395500.3447081741,397837.5365623345,398825.82735000004,406305.952268364,398625.4541251201,398977.33311605296
0,10400,399563.04486,400182.75070123794,402275.5987000001,395403.31009054463,397653.2854280385,398804.70735000004,405956.2343588127,398514.96274899185,398949.3881898755
0,10401,399526.27486,400118.7271247057,402207.1487000001,394174.56649194675,397487.45940717205,398730.40735000005,406013.4839342508,398423.6667172739,398794.9137647601
0,10402,399565.11486,400267.13307828293,402390.79870000004,394307.97714216245,397616.43520117924,398841.70735000004,406193.59299289103,398517.6945362424,398897.58914314123
0,10403,399495.37486,399923.19578396075,401919.7687000001,393928.2570745075,397634.86031460884,398328.90735000005,405387.52054535307,398377.03585417796,398746.35009742953
0,10404,399596.38685999997,400242.12393964664,402318.2287000001,394421.78772338736,397929.66212948255,398699.16735000006,405752.989536043,398613.6466904064,399073.1358963792
0,10405,399587.18286,400135.6253140704,402178.0987000001,394478.9413298432,397929.66212948255,398657.79735000007,405510.38237868407,398592.2058861488,399103.4612492378
0,10406,399605.49686,400299.7397300368,402389.4487,394415.2122467108,397966.51235634176,398707.66735000006,405839.1069533409,398637.4905400567,399077.7621720001
0,10407,399621.21285999997,400248.53172578884,402314.36870000005,394617.7111798963,398058.6379234898,398739.89735000004,405609.6221321288,398675.87698842894,399205.49482120917
0,10408,399618.32086,400186.2655972751,402221.0387000001,394179.11884511035,398132.33837720816,398636.88735000003,405377.5108670141,398677.19461710507,399229.6693714767
0,10409,399642.25086000003,400172.8823039477,402206.8987000001,394281.4282604592,398169.1886040674,398803.18735,405301.89321986155,398725.3577948671,399383.83654055913
0,10410,399596.82886,399851.62897920003,401817.5687000001,394513.0019310426,397929.66212948255,398849.92735000007,404863.43491960474,398598.0283670194,399395.3227140516
0,10411,399536.29486,399608.3502453553,401550.23870000005,394631.7355579541,397524.30963403126,398960.5573500001,404805.70376639,398425.285143163,399269.82368709304
0,10412,399523.28886,399686.3248362582,401673.0487000001,394543.3899170805,397358.4836131648,399043.07735000004,405186.4312189865,398383.7518297932,399145.83506643865
0,10413,399536.96486,399721.8243781169,401723.8387000001,394647.7179290232,397358.4836131648,399150.70735000004,405267.30181052856,398410.44489931944,399201.1908692758
0,10414,399504.92886,399619.97609066416,401599.4287000001,394554.2464310519,397247.93293258717,399056.87735,405170.68609050126,398333.2299203619,399100.1868222955
0,10415,399497.82286,399524.5355893534,401471.19870000007,394598.4018172344,397266.3580460168,399004.69735000003,404930.7029816489,398318.43686819915,399132.1835065548
0,10416,399527.14486,399639.76717013365,401617.9087000001,394680.37215149327,397340.0584997352,399119.90735000005,405102.93942700705,398289.5735711077,399209.9488920327
0,10417,399547.33285999997,399624.05870774447,401590.0787000001,394837.64507546835,397432.18406688323,399178.34735000005,404954.32386195095,398349.31855234486,399336.23747681995
0,10418,399571.67486,399863.82254555204,401919.30870000005,394832.48435022833,397358.4836131648,399404.35735,405590.7812758157,398394.9705385841,399299.2267983584
0,10419,399548.89686,399864.3902665953,401960.7087000001,394892.2798577979,397063.68179829116,399606.01735000004,405953.14110182633,398322.0487155168,399193.86421075725
0,10420,399565.34686,399875.4483908609,401978.12870000006,395046.2064565937,397082.10691172077,399722.16735000006,405955.76723263,398366.88209397125,399284.10482669744
0,10421,399592.74886,400092.528259094,402236.18870000006,394826.71384370717,397266.3580460168,399630.82735000004,406224.61447142134,398431.86544747883,399253.32446638675
0,10422,399614.99286,400358.49096251326,402561.13870000007,394512.5600576327,397413.7589534536,399525.89735000004,406649.9506882738,398477.67749068415,399155.18125390646
0,10423,399624.18686,400444.6307875768,402641.16870000004,394262.83242240595,397616.43520117924,399297.51735000004,406597.9446001263,398503.4996158023,399116.9264836582
0,10424,399667.23485999997,400704.18570485397,402987.5287000001,394342.97341294354,397634.86031460884,399555.50735,407166.65484123933,398602.12644503266,399168.01690860634
0,10425,399694.24086,400786.2429128372,403100.06870000006,394510.2056133083,397653.2854280385,399738.33735000005,407331.01971823606,398670.42088146694,399265.3173950533
0,10426,399691.20686,400739.68524671276,403042.2787,394567.0518385664,397634.86031460884,399754.21735000005,407247.5269266032,398665.01843457116,399286.91154600435
0,10427,399682.22886000003,400608.74520354334,402867.7987000001,394644.1688284899,397653.2854280385,399698.82735000004,406926.67493882263,398651.11773259996,399336.3974549282
0,10428,399687.98086,400601.769696358,402833.25870000006,394538.67604726856,397819.1114489049,399525.4373500001,406707.6836484093,398673.3217615836,399357.5365984273
0,10429,399656.90286000003,400435.3301113298,402604.74870000005,394413.48741405644,397837.5365623345,399287.89735000004,406305.9598468689,398601.65233177005,399299.6803853278
0,10430,399653.60886000004,400495.27107078163,402683.4487000001,394303.10642028414,397819.1114489049,399261.42735,406465.07283948606,398587.39565253997,399232.544800137
0,10431,399710.36486,400783.3500227323,403043.85870000004,394315.554633943,398003.362583201,399403.0573500001,406895.661551827,398727.2861502258,399324.8308188874
0,10432,399681.60086,400581.41089584527,402770.7087000001,394272.014010034,398021.7876966306,399199.33735000005,406413.0694786949,398664.66386385646,399310.29653844313
0,10433,399614.47086,400293.3319438946,402406.3087000001,394138.9081825913,397837.5365623345,398965.9373500001,405982.4792612154,398496.3819576048,399153.9903303245
0,10434,399615.92286,400226.9831983006,402340.3087000001,394380.1935228865,397726.9858817569,399154.99735,405966.73700720543,398501.4761876195,399230.6062072303
0,10435,399625.76086,400284.59898869076,402411.8087000001,394365.08348360774,397763.8361086161,399169.93735,406052.8545301271,398525.31298395235,399239.72512771917
0,10436,399532.37086,399994.76258872147,402075.2187000001,394193.8104961535,397340.0584997352,399032.63735000003,405911.6262584775,398276.7337826432,398951.7822637285
0,10437,399558.57886,399996.5200367401,402047.38870000007,394231.37285609596,397579.58497432,398936.07735000004,405622.264305103,398356.8887648757,399083.09801639564
0,10438,399545.19685999997,399843.4637450393,401849.0287000001,394332.06708629,397561.1598608904,398900.46735000005,405296.164190131,398331.3087340363,399127.95764969854
0,10439,399576.90686,399927.8461220843,401975.62870000006,394611.47475585935,397524.30963403126,399199.66735000006,405533.5271246054,398410.3229938456,399259.0734297305
0,10440,399615.31886,399951.7198186342,401974.67870000005,394716.1798858951,397800.6863354753,399152.32735000004,405249.41443010553,398523.50422868005,399443.15093874646
0,10441,399627.67686,399976.1612362274,402013.86870000005,394842.57811914757,397782.2612220457,399277.66735,405327.66108630924,398554.797932479,399501.64895825565
0,10442,399612.53686,399880.7207349166,401882.54870000004,394793.2918946554,397800.6863354753,399154.41735,405087.6768118233,398521.31893802155,399484.06609736517
0,10443,399646.15686,400128.64980688493,402164.0287,394476.456357893,398095.48815034895,398955.21735000005,405291.39881012216,398604.9134259225,399453.0448229038
0,10444,399552.60086,399816.69715838437,401805.1887,394378.05181634024,397634.86031460884,398875.1873500001,405144.9230261624,398356.2533909739,399186.6292944878
0,10445,399543.58086,399706.1159157277,401690.7887000001,394647.1380349655,397450.6091803128,399089.08735000005,405118.6842763438,398333.4349528557,399243.72371759644
0,10446,399521.80886,399542.00149976125,401478.10870000004,394687.6496770728,397413.7589534536,399008.62735,404789.9591999741,398285.08003142005,399248.0827317114
0,10447,399529.78286000004,399553.0596240269,401492.2687000001,394742.9938646068,397432.18406688323,399049.79735000007,404792.58410101535,398306.7164194172,399286.0161252605
0,10448,399468.63685999997,399400.5710533692,401325.69870000007,394612.8771691718,397118.9571385799,398994.81735,404828.84018689557,398139.8332531499,399071.31918103044
